Year,Month,Region,Total Crime,Active Duty 1941-1947,Active Duty 1941 & Earlier,Active Duty 1947-1950,Active Duty 1950-1955,Active Duty 1955-1964,Active Duty 1964-1975,Active Duty 1975-1990,Active Duty 1990-2001,Active Duty 2001-Recent,Active Duty or Veteran,Carrying Cash,Born Abroad,Born in Territories,Born in US,Naturalized Citizen,Difficulties Concentrating,Difficulties Dressing,Difficulties Going Outside,Difficulties Hearing,Difficulties Seeing,Difficulties with Stairs,Employed,Hate Crime towards Disabled,Hate Crime towards Ethnicity,Hate Crime towards Gender,Hate Crime towards Race,Hate Crime towards Religion,Hate Crime towards Sexuality,High Income,Low Income,Middle Income,Worked in the past 2 Weeks,Worked in the past 6 Months,Worked in the past Week,Federal Employee,Non-Profit Employee,Private Employee,Self-employed,State Employee,Lived at Address 10-15 Years,Lived at Address 15+ Years,Lived at Address 5-10 Years,Live at Address 0-5 Years,Living on a Reservation,Living at a Dormitory,Living at a House,Living at a Nonpermanent Hotel,Living at a Permanent Hotel,Living at a Permanent Mobile Home,Works in Agriculture,Works in Construction,Works in Entertainment,Works in Finance,Works in Government,Works in Manufacturing,Works in Personal Services,Works in Professional Services,Works in Repair Services,Works in Retail Trade,Works in Transportation,Works in Wholesale Trade,Pregnant,Age 10-19,Age 20-29,Age 30-39,Age 40-49,Age 50-59,Age 60-69,Age 70+,Hispanic,AAPI,Native,Asian,Black,Multiracial,White,Associates Degree,Bachelors Degree,High School Degree,Less than High School,Masters Degree,Doctorate Degree,Professional Degree,Divorced,Married,Single,Separated,Widowed,College Student,Not a Student,K-12 Student,Trade Student,Vocational Student,Female,Male,Not Heterosexual Identifying,Works in City,Works in Rural Location,Works in Suburb
1996,1,Midwest,-5.824153443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.46960034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.322105863,NA,NA,NA,NA,NA,NA,-11.46960034,-6.276643489,-7.426549072,-8.473868067,-8.29154651,-6.357612552,NA,NA,NA,NA,NA,-8.211503802,-7.731930722,-7.780720886,-6.864430154,NA,-10.77645316,-5.860128545,-11.46960034,-11.46960034,-9.272375763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.167015247,-7.326465614,-7.206920463,-7.038783541,-8.035613136,-8.425077903,-9.272375763,-9.677840871,NA,NA,NA,NA,NA,NA,-11.46960034,-11.46960034,-11.46960034,-6.472388066,-11.46960034,-11.46960034,-11.46960034,-7.326465614,-6.50675571,-7.392062896,-9.071705067,-9.071705067,-8.378557887,-5.905079933,-11.46960034,-11.46960034,-11.46960034,-6.698915716,-6.357612552,NA,-6.844627527,-8.473868067,-8.068402959
1996,1,Northeast,-5.948139422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.08330598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.439162419,NA,NA,NA,NA,NA,NA,-11.46960034,-6.458965046,-7.152112227,-8.579228582,-8.378557887,-6.513773283,NA,NA,NA,NA,NA,-7.914252279,-7.685410706,-7.832014181,-6.926305558,NA,-10.08330598,-5.984803407,-11.46960034,-11.46960034,-9.523690191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.677840871,-7.914252279,-7.310717257,-6.992263526,-7.858682428,-8.697011618,-9.167015247,-8.904650983,NA,NA,NA,NA,NA,NA,-11.46960034,-11.46960034,-11.46960034,-6.751101469,-11.46960034,-11.46960034,-11.46960034,-7.914252279,-6.556945454,-7.375255778,-9.523690191,-8.697011618,-8.473868067,-6.040254711,-11.46960034,-11.46960034,-10.77645316,-6.778252458,-6.513773283,NA,-7.138867,-8.636386996,-7.577780042
1996,1,South,-5.304182486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.677840871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.80663986,NA,NA,NA,NA,NA,NA,-11.46960034,-5.698159217,-6.769119974,-8.334106124,-7.943239816,-5.831245671,NA,NA,NA,NA,NA,-7.66293785,-7.462267155,-6.992263526,-6.394426525,NA,-10.37098805,-5.436514118,-11.46960034,-11.46960034,-7.426549072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.904650983,-6.937000847,-6.633318433,-6.594403017,-7.40915733,-8.211503802,-7.914252279,-8.035613136,NA,NA,NA,NA,NA,NA,-11.46960034,-11.46960034,-11.46960034,-5.948139422,-11.46960034,-11.46960034,-11.46960034,-7.206920463,-5.882351682,-7.038783541,-8.250724515,-8.035613136,-8.13739583,-5.378290458,-11.46960034,-11.46960034,-10.08330598,-6.233158377,-5.803173652,NA,-6.212104968,-8.334106124,-7.66293785
1996,1,West,-5.495790728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.08330598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.940171253,NA,NA,NA,NA,NA,NA,-11.46960034,-5.867481519,-6.947811763,-8.579228582,-8.211503802,-5.960212004,NA,NA,NA,NA,NA,-8.13739583,-7.537774708,-7.480616294,-6.542346655,NA,-11.46960034,-5.532064135,-11.46960034,-11.46960034,-8.98469369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.167015247,-7.112891514,-6.751101469,-6.760070139,-7.619452739,-8.425077903,-8.473868067,-7.206920463,NA,NA,NA,NA,NA,NA,-11.46960034,-11.46960034,-11.46960034,-6.432647738,-11.46960034,-11.46960034,-11.46960034,-7.206920463,-6.18133331,-7.038783541,-8.473868067,-8.378557887,-7.943239816,-5.594669609,-11.46960034,-9.860162428,-11.46960034,-6.327936784,-6.062428569,NA,-6.299116345,-8.525161361,-8.035613136
1996,2,Midwest,-5.749288564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.08330598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.238491723,NA,NA,NA,NA,NA,NA,-11.46960034,-6.12249281,-7.358726476,-8.697011618,-8.525161361,-6.254664583,NA,NA,NA,NA,NA,-7.858682428,-7.756028274,-7.756028274,-6.787469113,NA,-10.37098805,-5.786020573,-11.46960034,-11.46960034,-9.272375763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.761550139,-7.358726476,-7.050759732,-7.050759732,-7.943239816,-8.525161361,-8.697011618,-10.08330598,NA,NA,NA,NA,NA,NA,-11.46960034,-11.46960034,-11.46960034,-6.333801903,-11.46960034,-11.46960034,-11.46960034,-7.598399329,-6.339701625,-7.221105098,-9.167015247,-8.98469369,-8.473868067,-5.838388558,-11.46960034,-10.37098805,-10.37098805,-6.609787936,-6.293450608,NA,-6.844627527,-8.13739583,-7.886081402
1996,2,Northeast,-6.098962312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.77645316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.542346655,NA,NA,NA,NA,NA,NA,-11.46960034,-6.542346655,-7.499308427,-8.98469369,-8.98469369,-6.564325562,NA,NA,NA,NA,NA,-8.003864437,-7.832014181,-7.886081402,-7.138867,NA,-9.860162428,-6.146590361,-10.77645316,-11.46960034,-9.677840871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.677840871,-7.806038694,-7.40915733,-7.462267155,-7.943239816,-8.525161361,-9.167015247,-8.697011618,NA,NA,NA,NA,NA,NA,-11.46960034,-11.46960034,-11.46960034,-6.96979067,-11.46960034,-11.46960034,-11.46960034,-7.858682428,-6.806161246,-7.537774708,-8.830543011,-9.071705067,-8.334106124,-6.222576268,-11.46960034,-10.37098805,-11.46960034,-6.958740834,-6.641286603,NA,-7.221105098,-9.071705067,-7.518356622
1996,2,South,-5.385100927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.37098805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.871178381,NA,NA,NA,NA,NA,NA,-11.46960034,-5.813608529,-6.751101469,-8.830543011,-8.378557887,-5.897446308,NA,NA,NA,NA,NA,-7.943239816,-7.342465955,-7.310717257,-6.345636361,NA,-10.37098805,-5.506020997,-11.46960034,-11.46960034,-7.619452739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.272375763,-7.264907721,-6.716010149,-6.641286603,-7.138867,-8.003864437,-8.473868067,-7.66293785,NA,NA,NA,NA,NA,NA,-11.46960034,-11.46960034,-11.46960034,-6.132062261,-11.46960034,-11.46960034,-11.46960034,-7.192934221,-5.997329667,-7.192934221,-7.858682428,-8.378557887,-8.378557887,-5.455885184,-11.46960034,-11.46960034,-9.523690191,-6.28781679,-5.901255836,NA,-6.322105863,-8.525161361,-7.685410706
1996,2,West,-5.580722382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.08330598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.022862969,NA,NA,NA,NA,NA,NA,-11.46960034,-5.936210852,-7.050759732,-8.525161361,-7.914252279,-6.113014066,NA,NA,NA,NA,NA,-8.068402959,-7.832014181,-7.40915733,-6.724668212,NA,-11.46960034,-5.643600233,-11.46960034,-11.46960034,-8.378557887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.390158799,-7.250092635,-6.905252149,-6.733401892,-7.577780042,-8.473868067,-8.98469369,-7.426549072,NA,NA,NA,NA,NA,NA,-11.46960034,-11.46960034,-11.46960034,-6.513773283,-11.46960034,-11.46960034,-11.46960034,-7.264907721,-6.265593653,-7.100152488,-8.579228582,-8.525161361,-7.806038694,-5.707548957,-11.46960034,-10.77645316,-10.08330598,-6.479167753,-6.098962312,NA,-6.564325562,-8.473868067,-7.806038694
1996,3,Midwest,-5.81711116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.77645316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.28781679,NA,NA,NA,NA,NA,NA,-11.46960034,-6.254664583,-7.326465614,-8.830543011,-8.334106124,-6.304814366,NA,NA,NA,NA,NA,-8.068402959,-7.619452739,-7.756028274,-6.884632862,NA,-9.860162428,-5.856472234,-11.46960034,-11.46960034,-9.390158799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.523690191,-7.499308427,-7.138867,-7.100152488,-7.708400225,-8.697011618,-8.636386996,-9.167015247,NA,NA,NA,NA,NA,NA,-11.46960034,-11.46960034,-11.46960034,-6.479167753,-11.46960034,-11.46960034,-11.46960034,-7.29521307,-6.499787041,-7.392062896,-9.071705067,-9.167015247,-8.579228582,-5.893651237,-11.46960034,-10.77645316,-10.37098805,-6.733401892,-6.322105863,NA,-6.87448049,-8.334106124,-7.858682428
1996,3,Northeast,-6.271103309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.860162428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.760070139,NA,NA,NA,NA,NA,NA,-11.46960034,-6.778252458,-7.557577335,-8.98469369,-8.697011618,-6.844627527,NA,NA,NA,NA,NA,-8.334106124,-8.003864437,-8.334106124,-7.192934221,NA,-10.77645316,-6.28781679,-10.77645316,-11.46960034,-10.77645316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.77645316,-8.378557887,-7.462267155,-7.375255778,-8.211503802,-8.904650983,-9.272375763,-9.390158799,NA,NA,NA,NA,NA,NA,-11.46960034,-11.46960034,-11.46960034,-7.087573706,-11.46960034,-11.46960034,-11.46960034,-8.525161361,-6.834871352,-7.557577335,-9.677840871,-9.523690191,-8.697011618,-6.400696138,-11.46960034,-11.46960034,-9.860162428,-7.192934221,-6.769119974,NA,-7.40915733,-9.167015247,-7.914252279
